,pipeline,values,num_trials
507,pe-ROI 4 test,44.098137118844306,16.0
508,pe-ROI 4 test,34.63593454210896,48.0
509,pe-ROI 4 test,12.410076356956601,14.0
510,pe-ROI 4 test,60.202886350641066,21.0
511,pe-ROI 4 test,22.591905215474416,32.0
512,pe-ROI 4 test,36.26894238082338,24.0
513,pe-ROI 4 test,28.51039295252406,18.0
514,pe-ROI 4 test,28.241112616021866,17.0
515,pe-ROI 4 test,38.3318359484183,17.0
516,pe-ROI 4 test,31.651506832931027,21.0
517,pe-ROI 4 test,21.81628215792294,6.0
518,pe-ROI 4 test,19.667565769032453,19.0
519,pe-ROI 4 test,26.8749463347526,27.0
